pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-84953333555,2015,Estimate of induced stress during filling and discharge of metallic silos for cement storage; Estimación de esfuerzos inducidos durante el llenado y vaciado de silos metálicos para almacenamiento de cemento,DYNA (Colombia),00127353,10.15446/dyna.v82n194.49731,2-s2.0-84953333555,Q4,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84958163726,2016,A boundary element method formulation for modal analysis of doubly curved thick shallow shells,Applied Mathematical Modelling,0307904X,10.1016/j.apm.2015.09.082,2-s2.0-84958163726,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84958211440,2015,On the illumination compensation of retinal images by means of the bidimensional empirical mode decomposition,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2211464,2-s2.0-84958211440,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84958212721,2015,Reduction of blooming artifacts in cardiac CT images by blind deconvolution and anisotropic diffusion filtering,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2209217,2-s2.0-84958212721,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84958225751,2015,Kinematic parameter estimation using close range photogrammetry for sport applications,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2208354,2-s2.0-84958225751,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO', 'ESCUELA DE TRANSFORMACIÓN DIGITAL']","['JUAN CARLOS MARTINEZ SANTOS', 'LUZ ALEJANDRA MAGRE COLORADO']"
2-s2.0-84959930208,2015,Determining the effects of ENSO phenomena on Andean areas by applying radiometric indices on long time series,,,10.1109/Multi-Temp.2015.7245808,2-s2.0-84959930208,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['YADY TATIANA SOLANO CORREA']
2-s2.0-84960332344,2015,Design of discrete event systems supported on wireless sensors and actuator networks using colored Petri Nets,,,10.1109/CCAC.2015.7345183,2-s2.0-84960332344,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-84960352790,2015,Visual servoing of a five-bar linkage mechanism,,,10.1109/CCAC.2015.7345205,2-s2.0-84960352790,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84962090065,2016,On the computation of LFSR characteristic polynomials for built-in deterministic test pattern generation,IEEE Transactions on Computers,00189340,10.1109/TC.2015.2428697,2-s2.0-84962090065,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['OSCAR ACEVEDO PATIÑO']
2-s2.0-84962595112,2015,VHR time-series generation by prediction and fusion of multi-sensor images,International Geoscience and Remote Sensing Symposium (IGARSS),21536996,10.1109/IGARSS.2015.7326523,2-s2.0-84962595112,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['YADY TATIANA SOLANO CORREA']
2-s2.0-84963623614,2015,Elastodynamic analysis of thick multilayer composite plates by the Boundary Element Method,CMES - Computer Modeling in Engineering and Sciences,15261492,,2-s2.0-84963623614,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84963718591,2016,Rhizoctonia solani AG-1 IA infects both rice and signalgrass in the Colombian Llanos; Rhizoctonia solani AG-1 IA infecta arroz e braquiária nos Llanos Colombianos,Pesquisa Agropecuaria Tropical,15176398,10.1590/1983-40632016v4638696,2-s2.0-84963718591,Q3,['CIENCIAS BÁSICAS'],['EDISSON CHAVARRO MESA']
2-s2.0-84975780222,2016,On solutions for linear and nonlinear Schrödinger equations with variable coefficients: A computational approach,Symmetry,,10.3390/sym8060038,2-s2.0-84975780222,Q2,['CIENCIAS BÁSICAS'],['ENRIQUE PEREIRA BATISTA']
2-s2.0-84978148116,2017,A wearable system for biosignal monitoring in weightlifting,Sports Engineering,13697072,10.1007/s12283-016-0212-z,2-s2.0-84978148116,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
